region,schema_version,scored_at,total_facilities,hospital_count,clinic_count,ngo_count,volunteer_facilities,teaching_hospitals,referral_centers,public_facilities,private_facilities,total_doctors,total_beds,doctors_per_100k,beds_per_100k,facilities_per_100k,hospitals_per_100k,region_population,emergency_medicine_facilities,surgery_facilities,obstetrics_facilities,icu_facilities,pediatrics_facilities,infectious_disease_facilities,radiology_facilities,mental_health_facilities,critical_specialty_gap_count,missing_critical_specialties,all_specialties,emergency_gap_score,icu_gap_score,surgical_access_gap_score,maternity_gap_score,avg_completeness,avg_geo_quality,avg_ghost_probability,avg_quality_risk,total_region_anomalies,rag_ready_count,rag_ready_rate,avg_emergency_readiness,avg_critical_care_score,avg_service_richness_score,avg_infrastructure_completeness_score,avg_referral_complexity_score,avg_healthcare_maturity_score,density_component,specialty_component,integrity_component,confidence_component,summary_mds,blended_mds,medical_desert_score,desert_label,mds_label,score_confidence,score_rationale,centroid_lat,centroid_lon,recommended_actions,method_version
Savannah,v12,2026-05-09T10:58:14.996515+00:00,4,3,0,1,0,0,0,1,3,0,0,0.0,0.0,0.66,0.49,606986,0,0,0,0,0,0,0,0,4,"[""emergencyMedicine"", ""generalSurgery"", ""gynecologyAndObstetrics"", ""pediatrics""]","[""internalMedicine"", ""nephrology"", ""otolaryngology""]",1.0,1.0,1.0,1.0,0.481,0.82,0.5625,0.2875,0,4,100.0,0.0,0.0,0.2083,0.0,0.0,0.0625,0.8445,0.98,0.4662,0.3566,0.9706,0.7295,0.8742,Severe Desert,Severe Desert,0.574,"Density gap: 0.66/100k facilities, 0.00/100k doctors; Missing 4 critical specialties: emergencyMedicine, generalSurgery, gynecologyAndObstetrics; Integrity concern: ghost_prob=0.56, anomalies=0",9.0167,-2.4833,"[""URGENT: Deploy emergency medicine capacity \u2014 zero coverage detected"", ""URGENT: No surgical capacity \u2014 patients cannot receive operative care"", ""URGENT: No obstetrics \u2014 elevated maternal mortality risk"", ""HIGH: Deploy paediatric care \u2014 children's health services absent"", ""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility"", ""HIGH: Deploy mobile inpatient capacity \u2014 fewer than 20 beds in region"", ""HIGH: No ICU capacity \u2014 critical gap for complex cases"", ""MEDIUM: Mental health services absent \u2014 underserved population"", ""HIGH: Hospital density critically low \u2014 < 0.5 per 100k population"", ""HIGH: Bed capacity insufficient \u2014 fewer than 2 beds per 100k"", ""URGENT: Region severely underserved \u2014 prioritise facility establishment""]",blended_mds_v12
Upper East,v12,2026-05-09T10:58:14.966041+00:00,6,5,0,1,0,0,0,1,5,0,0,0.0,0.0,0.57,0.48,1046545,0,0,1,0,1,0,1,0,3,"[""emergencyMedicine"", ""generalSurgery"", ""gynecologyAndObstetrics""]","[""cardiology"", ""internalMedicine"", ""maternalFetalMedicineOrPerinatology"", ""neonatologyPerinatalMedicine"", ""ophthalmology"", ""otolaryngology"", ""pediatrics"", ""physicalMedicineAndRehabilitation"", ""radiology""]",1.0,1.0,1.0,0.8,0.5423,0.8733,0.375,0.2,0,6,100.0,0.0,0.0,0.2708,0.0555,0.0476,0.0979,0.8515,0.94,0.3321,0.3158,0.9352,0.6894,0.8369,Severe Desert,Severe Desert,0.6582,"Density gap: 0.57/100k facilities, 0.00/100k doctors; Missing 3 critical specialties: emergencyMedicine, generalSurgery, gynecologyAndObstetrics",11.0583,-0.2417,"[""URGENT: Deploy emergency medicine capacity \u2014 zero coverage detected"", ""URGENT: No surgical capacity \u2014 patients cannot receive operative care"", ""URGENT: No obstetrics \u2014 elevated maternal mortality risk"", ""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility"", ""HIGH: Deploy mobile inpatient capacity \u2014 fewer than 20 beds in region"", ""HIGH: No ICU capacity \u2014 critical gap for complex cases"", ""MEDIUM: Mental health services absent \u2014 underserved population"", ""HIGH: Hospital density critically low \u2014 < 0.5 per 100k population"", ""HIGH: Bed capacity insufficient \u2014 fewer than 2 beds per 100k""]",blended_mds_v12
Bono East,v12,2026-05-09T10:58:14.957560+00:00,15,9,2,1,0,0,0,1,14,0,100,0.0,8.76,1.31,0.79,1141427,2,1,3,0,2,1,2,0,1,"[""generalSurgery""]","[""clinicalPathology"", ""emergencyMedicine"", ""familyMedicine"", ""gynecologyAndObstetrics"", ""infectiousDiseases"", ""internalMedicine"", ""neonatologyPerinatalMedicine"", ""nephrology"", ""obstetricsAndMaternityCare"", ""otolaryngology"", ""pathology"", ""pediatrics"", ""radiology""]",0.7778,1.0,0.8889,0.7273,0.5772,0.8413,0.4307,0.2667,0,15,100.0,0.0633,0.02,0.3278,0.1128,0.0952,0.1488,0.7173,0.7927,0.3825,0.3053,0.7381,0.6074,0.6858,Moderate Desert,Moderate Desert,0.6549,"Density gap: 1.31/100k facilities, 0.00/100k doctors; Missing 1 critical specialties: generalSurgery",7.5833,-1.9333,"[""URGENT: No surgical capacity \u2014 patients cannot receive operative care"", ""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility"", ""HIGH: No ICU capacity \u2014 critical gap for complex cases"", ""MEDIUM: Mental health services absent \u2014 underserved population""]",blended_mds_v12
Western North,v12,2026-05-09T10:58:15.004772+00:00,10,5,5,0,0,0,0,5,5,0,0,0.0,0.0,1.28,0.64,782022,2,2,4,0,1,1,1,1,0,[],"[""anesthesia"", ""clinicalPathology"", ""emergencyMedicine"", ""generalSurgery"", ""gynecologyAndObstetrics"", ""infectiousDiseases"", ""internalMedicine"", ""maternalFetalMedicineOrPerinatology"", ""neonatologyPerinatalMedicine"", ""obstetricsAndMaternityCare"", ""ophthalmology"", ""orthopedicSurgery"", ""otolaryngology"", ""pathology"", ""pediatrics""]",0.6,1.0,0.6,0.6,0.5747,0.9,0.325,0.115,2,9,90.0,0.11,0.06,0.2792,0.1805,0.1572,0.1719,0.7568,0.64,0.2801,0.2995,0.7096,0.5637,0.6512,Moderate Desert,Moderate Desert,0.6923,"Density gap: 1.28/100k facilities, 0.00/100k doctors; Missing 0 critical specialties: ",6.45,-2.35,"[""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility"", ""HIGH: Deploy mobile inpatient capacity \u2014 fewer than 20 beds in region"", ""HIGH: No ICU capacity \u2014 critical gap for complex cases"", ""HIGH: Bed capacity insufficient \u2014 fewer than 2 beds per 100k""]",blended_mds_v12
North East,v12,2026-05-09T10:58:14.988168+00:00,3,2,0,1,0,0,0,1,2,0,300,0.0,56.91,0.57,0.38,527170,0,1,2,0,0,0,0,0,2,"[""emergencyMedicine"", ""pediatrics""]","[""anesthesia"", ""generalSurgery"", ""gynecologyAndObstetrics"", ""internalMedicine"", ""obstetricsAndMaternityCare"", ""otolaryngology""]",1.0,1.0,0.5,0.0,0.4465,0.8733,0.5333,0.2333,0,3,100.0,0.0833,0.1167,0.2361,0.3519,0.1429,0.2164,0.7769,0.74,0.3661,0.3283,0.5972,0.6182,0.6056,Marginal,Marginal,0.5786,"Density gap: 0.57/100k facilities, 0.00/100k doctors; Missing 2 critical specialties: emergencyMedicine, pediatrics",10.5167,-0.35,"[""URGENT: Deploy emergency medicine capacity \u2014 zero coverage detected"", ""HIGH: Deploy paediatric care \u2014 children's health services absent"", ""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility"", ""HIGH: No ICU capacity \u2014 critical gap for complex cases"", ""MEDIUM: Mental health services absent \u2014 underserved population"", ""HIGH: Hospital density critically low \u2014 < 0.5 per 100k population"", ""URGENT: Region severely underserved \u2014 prioritise facility establishment""]",blended_mds_v12
Northern,v12,2026-05-09T10:58:14.992397+00:00,32,20,8,2,1,3,2,11,21,0,0,0.0,0.0,1.29,0.81,2479461,5,6,6,4,4,0,6,1,0,[],"[""anesthesia"", ""clinicalPathology"", ""criticalCareMedicine"", ""dentistry"", ""emergencyMedicine"", ""generalSurgery"", ""gynecologyAndObstetrics"", ""hospiceAndPalliativeInternalMedicine"", ""internalMedicine"", ""neonatologyPerinatalMedicine"", ""nephrology"", ""obstetricsAndMaternityCare"", ""ophthalmology"", ""orthopedicSurgery"", ""otolaryngology""]",0.75,0.4,0.7,0.7857,0.5665,0.85,0.3362,0.1844,0,31,96.9,0.1391,0.1266,0.3034,0.096,0.1342,0.1729,0.6907,0.5811,0.3134,0.3024,0.6403,0.5296,0.596,Marginal,Marginal,0.671,"Density gap: 1.29/100k facilities, 0.00/100k doctors; Missing 0 critical specialties: ",9.4075,-0.8533,"[""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility"", ""HIGH: Deploy mobile inpatient capacity \u2014 fewer than 20 beds in region"", ""HIGH: Bed capacity insufficient \u2014 fewer than 2 beds per 100k""]",blended_mds_v12
Central,v12,2026-05-09T10:58:14.979541+00:00,47,18,14,6,1,0,1,6,41,0,201,0.0,7.84,1.83,0.7,2563228,5,1,9,1,7,5,5,3,0,[],"[""anesthesia"", ""cardiology"", ""clinicalPathology"", ""criticalCareMedicine"", ""dentistry"", ""dermatology"", ""emergencyMedicine"", ""endocrinologyAndDiabetesAndMetabolism"", ""gastroenterology"", ""generalSurgery"", ""gynecologyAndObstetrics"", ""infectiousDiseases"", ""internalMedicine"", ""medicalOncology"", ""neonatologyPerinatalMedicine""]",0.7222,0.7,0.9444,0.7188,0.5724,0.8609,0.3351,0.1691,5,46,97.9,0.05,0.017,0.2775,0.1585,0.0973,0.1442,0.713,0.6885,0.2974,0.3002,0.5984,0.5618,0.5838,Marginal,Marginal,0.6774,"Density gap: 1.83/100k facilities, 0.00/100k doctors; Missing 0 critical specialties: ",5.427925,-0.958524,"[""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility""]",blended_mds_v12
Western,v12,2026-05-09T10:58:14.935788+00:00,75,28,42,1,0,0,1,17,58,0,193,0.0,8.12,3.16,1.18,2376021,7,3,18,2,4,1,5,3,0,[],"[""anesthesia"", ""clinicalPathology"", ""criticalCareMedicine"", ""dentistry"", ""emergencyMedicine"", ""endocrinologyAndDiabetesAndMetabolism"", ""familyMedicine"", ""generalSurgery"", ""globalHealthAndInternationalHealth"", ""gynecologyAndObstetrics"", ""hospiceAndPalliativeInternalMedicine"", ""infectiousDiseases"", ""internalMedicine"", ""maternalFetalMedicineOrPerinatology"", ""medicalOncology""]",0.75,0.4,0.8929,0.7429,0.5051,0.9032,0.3935,0.1533,1,64,85.3,0.0493,0.024,0.1917,0.106,0.0839,0.104,0.5578,0.6154,0.3134,0.3411,0.5678,0.4908,0.537,Marginal,Marginal,0.6448,Missing 0 critical specialties: ,4.910502,-1.793252,"[""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility""]",blended_mds_v12
Unknown,v12,2026-05-09T10:58:14.949000+00:00,27,2,19,4,1,0,0,5,22,0,0,0.0,0.0,2.7,0.2,1000000,2,2,5,0,1,2,1,0,0,[],"[""anesthesia"", ""dentistry"", ""emergencyMedicine"", ""endocrinologyAndDiabetesAndMetabolism"", ""familyMedicine"", ""gastroenterology"", ""generalSurgery"", ""gynecologyAndObstetrics"", ""infectiousDiseases"", ""internalMedicine"", ""maternalFetalMedicineOrPerinatology"", ""neonatologyPerinatalMedicine"", ""obstetricsAndMaternityCare"", ""otolaryngology"", ""pediatrics""]",0.0,1.0,0.0,0.7619,0.44,0.6363,0.5278,0.3722,3,15,55.6,0.0037,0.0222,0.1944,0.0655,0.0635,0.0832,0.8,0.3262,0.4513,0.487,0.4951,0.5649,0.523,Adequate,Adequate,0.5053,"Density gap: 2.70/100k facilities, 0.00/100k doctors; Integrity concern: ghost_prob=0.53, anomalies=3",6.302522,-0.725222,"[""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility"", ""HIGH: Deploy mobile inpatient capacity \u2014 fewer than 20 beds in region"", ""HIGH: No ICU capacity \u2014 critical gap for complex cases"", ""MEDIUM: Mental health services absent \u2014 underserved population"", ""HIGH: Hospital density critically low \u2014 < 0.5 per 100k population"", ""HIGH: Bed capacity insufficient \u2014 fewer than 2 beds per 100k""]",blended_mds_v12
Eastern,v12,2026-05-09T10:58:14.953342+00:00,24,12,4,2,0,1,3,7,17,0,214,0.0,8.13,0.91,0.46,2633154,3,8,6,3,4,3,6,1,0,[],"[""anesthesia"", ""cardiacSurgery"", ""cardiology"", ""clinicalPathology"", ""criticalCareMedicine"", ""dentistry"", ""dermatology"", ""emergencyMedicine"", ""endocrinologyAndDiabetesAndMetabolism"", ""gastroenterology"", ""generalSurgery"", ""geriatricsInternalMedicine"", ""gynecologyAndObstetrics"", ""infectiousDiseases"", ""internalMedicine""]",0.75,0.4,0.3333,0.625,0.5697,0.8333,0.3733,0.2158,1,22,91.7,0.1604,0.1708,0.3299,0.1981,0.1911,0.2246,0.7874,0.4917,0.3213,0.3141,0.4778,0.5493,0.5064,Adequate,Adequate,0.6602,"Density gap: 0.91/100k facilities, 0.00/100k doctors",6.55,-0.7667,"[""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility"", ""HIGH: Hospital density critically low \u2014 < 0.5 per 100k population""]",blended_mds_v12
